순번,자원명,시도,시군구,주차장유형,경도,위도
46,신천초등학교,경기도,시흥시,노상,126.783407,37.43514236
47,청전주차타워,충청북도,제천시,노외,128.2114411,37.14894959
48,소수면사무소,충청북도,괴산군,부설,127.7452223,36.85570638
49,한국전력공사 경남본부 주차장,경상남도,창원시,부설,128.6889267,35.23165138
50,대구성곡초등학교,대구광역시,달서구,부설,128.5135151,35.85809784
51,고양일산 공영주차장,경기도,고양시,노외,126.7713945,37.68565321
52,국민건강보험공단 안성지사,경기도,안성시,부설,127.2653754,37.0096349
53,김제교육문화회관,전라북도,김제시,부설,126.8921588,35.80682465
54,옹암 해변 주차장,인천광역시,옹진군,노외,126.3725701,37.52994515
55,금산금빛마을 제1 임시공영주차장,경상남도,양산시,노외,129.0253141,35.31022886
56,반곡초등학교,세종특별자치시,-,노상,127.3105794,36.50038468
57,가수원중학교,대전광역시,서구,부설,127.354558,36.29847211
58,본동 1공영,대구광역시,달서구,노외,128.5363491,35.83363307
59,일월초등학교,경기도,수원시,부설,126.9743928,37.28421904
60,수성2.3가행정복지센터,대구광역시,수성구,부설,128.619009,35.85476721
61,당산초등학교,충청남도,당진시,부설,126.6500418,36.93625546
62,장복초등학교,경상남도,창원시,부설,128.6951081,35.15786437
63,대전호수초등학교,대전광역시,서구,부설,127.3502116,36.3204753
64,관풍헌길 97-6(이화빌라 옆),강원도,영월군,노외,128.4697689,37.18614997
65,사의재 인근,전라남도,강진군,노외,126.771086,34.64457088
66,인덕초등학교,경상북도,포항시,부설,129.4021265,35.98466002
67,다대중학교,부산광역시,사하구,부설,128.9682545,35.05737649
68,동명동 푸른길 주변 공영주차장,광주광역시,동구,노상,126.9282714,35.15039047
69,사파동 61-1 임시공영주차장,경상남도,창원시,노외,128.70176,35.22541137
70,운천고등학교,경기도,오산시,부설,127.0803516,37.15598785
71,영동산업과학고등학교,충청북도,영동군,노상,127.7711799,36.17254541
72,신한은행 앞,강원도,영월군,노상,128.470288,37.18410057
73,국우동 주민센터,대구광역시,북구,부설,128.5753997,35.94802672
74,가락초등학교,부산광역시,강서구,부설,128.8952655,35.19634003
75,용인신촌초등학교,경기도,용인시,노상,127.1135322,37.32310319
76,범어천로노상공영1주차장 신천시장 ~ 하나은행 범어점,대구광역시,수성구,노상,128.6181812,35.86577481
77,유곡중학교(주차장),울산광역시,중구,부설,129.299591,35.55882497
78,대현초등학교(운동장 옆 노면 주차장),울산광역시,남구,노외,129.325617,35.52807387
79,남해고등학교,경상남도,남해군,노상,127.951543,34.80280046
80,주차타워 노외주차장,강원도,화천군,노외,127.7076133,38.10407141
81,양정고등학교,부산광역시,부산진구,노상,129.0750869,35.16990941
82,고현8,경상남도,거제시,노상,128.6277274,34.88645921
83,가음동 2-2 공영주차장,경상남도,창원시,노외,128.6868009,35.21120021
84,중원로타리 ~ 탑산입구,경상남도,창원시,노상,128.6604446,35.14925307
85,한국폴리텍대학 대전캠퍼스,대전광역시,동구,노상,127.4544643,36.35085869
86,연세중학교주차장,경기도,남양주시,노상,127.3219261,37.5685278
87,팔곡이동129호 노외주차장,경기도,안산시,노외,126.8748656,37.2970788
88,공영 노외(무료) 주차장,경기도,성남시,노외,127.0704946,37.42769358
89,어연초등학교,경기도,평택시,노상,126.9773922,37.04885888
90,오대천둔치주차장,강원도,평창군,노외,128.556772,37.63212005
91,청계마을 추자장,경상남도,의령군,노외,128.2343878,35.47951219
92,신길중학교,경기도,안산시,부설,126.787655,37.33713186
93,대가야고등학교,경상북도,고령군,노외,128.2714279,35.7441136
94,중화산동2동 주차장 ,전라북도,전주시,노외,127.1152257,35.81757823
95,망포공영,경기도,수원시,노외,127.0581652,37.2450276
96,판암2동 판암면옥 옆길,대전광역시,동구,노상,127.4501938,36.32126829
97,무태조야동 주민센터,대구광역시,북구,부설,128.5970461,35.92135305
98,가야초등학교,부산광역시,부산진구,노외,129.0362693,35.1537258
99,한국폴리텍대학 반도체캠퍼스,경기도,안성시,노상,127.1762245,37.00855627
100,석전서6길 79-1 공영주차장,경상남도,창원시,노상,128.5676925,35.22810272
101,창동고등학교,서울특별시,도봉구,부설,127.0388191,37.65103577
102,관광개발공사옆주차장,강원도,강릉시,노외,128.8779471,37.7539605
103,대산면 제동리 464-8번지 주차장,경상남도,창원시,노외,128.699982,35.31646224
104,새론중학교,대구광역시,동구,부설,128.7250938,35.87917295
105,제일주차빌딩(기계식),제주특별자치도,제주시,노외,126.5265959,33.51348385
106,정동고등학교,대구광역시,동구,부설,128.6928649,35.87674854
107,대진중학교,대구광역시,달서구,부설,128.5195981,35.80574502
108,동서대로 노상주차장,대전광역시,서구,노상,127.3824967,36.32821399
109,칠암도서관 주차장,경상남도,김해시,부설,128.910444,35.24456328
110,신도초등학교,부산광역시,해운대구,노상,129.1673801,35.16948324
111,서울화계초등학교,서울특별시,강북구,부설,127.0297162,37.62388498
112,풋살경기장 주변 공영주차장,광주광역시,동구,노외,126.9390432,35.12095821
113,거진8리 해변,강원도,고성군,노외,128.4623805,38.45026621
114,신당중학교,대구광역시,달서구,부설,128.4963841,35.85457293
115,안성여자고등학교,경기도,안성시,부설,127.257949,37.01814312
116,충훈고등학교,경기도,안양시,부설,126.8930322,37.41088213
117,한림신봉마을,경상남도,김해시,노외,128.8003924,35.32498977
118,상원중학교,대구광역시,달서구,노상,128.5441712,35.81681662
119,유니시티(340),경상남도,창원시,노외,128.622466,35.25246904
120,왕선중학교,대구광역시,달성군,부설,128.4663062,35.8633285
121,제20노상주차장,경상북도,문경시,노상,128.1932201,36.59329368
122,우리들내과 앞,전라남도,강진군,노외,126.7674602,34.63869902
123,신촌동 514-1 공영주차장,경상남도,창원시,노외,128.6531335,35.205047
124,조촌동 공영주차장 2,전라북도,군산시,노외,126.7437463,35.97591391
125,명륜2동 간이주차장,강원도,원주시,노외,127.9428134,37.32698458
126,합천초등학교 인근 공영주차장,경상남도,합천군,노외,128.1643537,35.56433758
127,삽량초등학교,경상남도,양산시,부설,129.0289876,35.3318931
128,초당고등학교,경기도,용인시,부설,127.1629188,37.25870064
129,섬내공원 주차장,경상북도,칠곡군,노외,128.4066288,36.07606201
130,인천광역시강화교육지원청미래교육지원센터,인천광역시,강화군,부설,126.4887682,37.74709348
131,진가초등학교,경기도,이천시,노상,127.479209,37.17475248
132,대구율원초등학교,대구광역시,동구,부설,128.7009913,35.86481632
133,화봉중학교(노면주차장),울산광역시,북구,부설,129.3608359,35.58935749
134,경상북도울진교육지원청,경상북도,울진군,부설,129.3988768,36.98642086
135,여남초연도분교장,전라남도,여수시,부설,127.8013758,34.43289488
136,광운초등학교,서울특별시,성북구,부설,127.0550771,37.61906522
137,하망동 제2공영주차장,경상북도,영주시,노외,128.6280412,36.82428608
138,군청 앞 공영주차장,경상북도,칠곡군,노외,128.4009002,35.99397922
139,영광교육지원청,전라남도,영광군,부설,126.5130684,35.27703601
140,늘푸른중학교,경기도,성남시,부설,127.1051176,37.35739426
141,대구동일초등학교,대구광역시,수성구,부설,128.6167788,35.85799766
142,진도 공용1주차장,전라남도,진도군,노외,126.2634616,34.48463192
143,달서대로 공영주차장,대구광역시,달서구,노상,128.4913741,35.83584568
144,주왕산면사무소 주차장,경상북도,청송군,부설,129.1593984,36.35688908
145,명서초등학교,경상남도,창원시,노상,128.6440392,35.25036248
146,동락공원,경상북도,구미시,노외,128.4017511,36.09945258
147,목포청호초등학교,전라남도,목포시,부설,126.4278786,34.81028938
148,안산세무서뒤,경기도,안산시,노외,126.8270239,37.32042598
149,문의초등학교,충청북도,청주시,노상,127.4935076,36.51865565
150,정방공영주차빌딩,제주특별자치도,서귀포시,노외,126.565813,33.24779034
151,성산고등학교,대구광역시,달서구,부설,128.5200481,35.86224357
152,수정공영,경기도,성남시,노외,127.1457163,37.44971136
153,부천원일초등학교,경기도,부천시,부설,126.8026699,37.53027706
154,오태중학교,경상북도,구미시,노외,128.3544531,36.07177448
155,해동놀이터지하주차장,경기도,안양시,노외,126.9561303,37.40741966
156,유구초등학교,충청남도,공주시,노상,126.949794,36.55450238
157,도시계획도로 임시 주차장3,강원도,강릉시,노외,128.8227018,37.88641576
158,풍산면사무소 옆,전라북도,순창군,노외,127.138873,35.33661795
159,신도림고등학교,서울특별시,구로구,부설,126.8820838,37.51406292
160,대방동우체국옆 공영주차장,경상남도,창원시,노외,128.7079736,35.21646408
161,대도초등학교,경상북도,포항시,노상,129.3619104,36.01411913
162,관청근린공원 주차장,인천광역시,강화군,노외,126.4821236,37.74929174
163,강경노외임시무료주차장,충청남도,논산시,노외,127.0138406,36.15476462
164,옥산초등학교,충청남도,부여군,노상,126.7319642,36.19070506
165,명덕여자중학교 (교사동 뒷편 주차장),울산광역시,동구,노외,129.4242201,35.50434136
166,부산은애학교,부산광역시,금정구,부설,129.0848137,35.27868869
167,한국전력공사 김해지사 주차장,경상남도,김해시,부설,128.8890909,35.22753342
168,종합운동장 주차장,인천광역시,옹진군,노외,126.4744397,37.26030541
169,임당 공영주차장,경상북도,경산시,노외,128.7424502,35.83521968
170,노천초등학교,강원도,홍천군,부설,128.0145426,37.66821721
171,금호아파트앞 주차장,전라북도,남원시,노외,127.3739995,35.40738724
172,의료원R 제1공영주차장,전라남도,순천시,노상,127.4844271,34.95741052
173,안녕초등학교,경기도,화성시,부설,127.0081931,37.20587125
174,강원도 삼척시 진주로 주차장,강원도,삼척시,노상,129.1652471,37.44022959
175,금왕읍 임시공영주차장,충청북도,음성군,노외,127.5901998,36.99093048
176,국민건강보험공단 대전충청지역본부,세종특별자치시,-,부설,127.2419823,36.51345844
177,횡성원주권지사 횡성댐물문화관,강원도,횡성군,기타,128.0329163,37.54558213
178,삼천포제일중학교,경상남도,사천시,노상,128.085664,34.94879903
179,선양동 삼학주공@옆 공영주차장,전라북도,군산시,노외,126.7120679,35.97966845
180,양지초등학교,경기도,용인시,노상,127.2844448,37.23708312
181,삼각동공영주차장,광주광역시,북구,노외,126.8985669,35.2012447
182,울진항교앞 공영주차장,경상북도,울진군,노상,129.3985043,36.99455149
183,오수면 공영주차장,전라북도,임실군,노외,127.3274608,35.53788244
184,신흥증권앞,서울특별시,영등포구,노상,126.9277317,37.52432137
185,청량리제1공영,서울특별시,동대문구,노상,127.0409317,37.57914438
186,부곡동100호 노외주차장,경기도,안산시,노외,126.8648421,37.33280972
187,진접노상 제5공영주차장,경기도,남양주시,노상,127.1959302,37.7210629
188,소초공영주차장,강원도,원주시,노외,127.9554538,37.41067777
189,동동마을 주차장,전라북도,장수군,노외,127.5849503,35.72952798
190,조종면 공영주차장(1구역),경기도,가평군,노외,127.3500427,37.81718714
191,용원교회옆공영주차장,경상남도,창원시,노외,128.8186232,35.09555336
192,도안제3공한지무료주차장,대전광역시,서구,노외,127.3546986,36.30700428
193,진도 임대14주차장,전라남도,진도군,노외,126.2657751,34.47891777
194,진량 부기리 공영주차장,경상북도,경산시,노외,128.8211368,35.90639128
195,경산역 서편 공영주차장,경상북도,경산시,노외,128.7272919,35.81881876
196,두레아트빌 옆 주차장,강원도,평창군,노외,128.4038749,37.3684891
197,두룡초등학교,경상남도,통영시,부설,128.4115782,34.83748455
198,끝동공영주차장,대구광역시,수성구,노외,128.618714,35.83225234
199,한국전력공사 정읍지사,전라북도,정읍시,부설,126.8440344,35.56899149
200,광주어린이체육센터,경기도,광주시,부설,127.1773876,37.37401622
201,김천예술고등학교,경상북도,김천시,노상,128.0958438,36.13774035
202,청사서로 노상주차장,대전광역시,서구,노상,127.3749964,36.35957895
203,청도중앙초등학교,경상북도,청도군,노외,128.7520707,35.64730845
204,현충공원주차장,경상북도,경산시,부설,128.7216321,35.81459374
205,상문동 공영주차장,경상남도,거제시,노상,128.6381241,34.86726138
206,평일초등학교,경기도,평택시,부설,127.1070709,36.98937529
207,초롱초등학교,경기도,파주시,부설,126.7200649,37.71016559
208,청계초등학교,전라남도,무안군,노상,126.4293014,34.92598508
209,성남초등학교,경기도,성남시,부설,127.144146,37.44608455
210,횡계초등학교 앞 주차장,강원도,평창군,노외,128.7102421,37.67610632
211,병곡중학교,경상북도,영덕군,노상,129.411274,36.60434274
212,부안누에타운주차장,전라북도,부안군,부설,126.5132908,35.6321824
213,산외초등학교,경상남도,밀양시,부설,128.7967187,35.50366496
214,청령포초등학교,강원도,영월군,노외,128.4414799,37.18034788
215,석사지구1,강원도,춘천시,노외,127.7419972,37.86116416
216,2생활권 환승주차장 B,세종특별자치시,-,노외,127.2623967,36.48125005
217,덕포초등학교,부산광역시,사상구,부설,128.9860278,35.17393184
218,영월중학교 운동장 맞은편,강원도,영월군,노외,128.4731454,37.19088417
219,가산초등학교,경기도,포천시,노상,127.1862107,37.84722928
220,부산영선중학교,부산광역시,영도구,노외,129.0446669,35.08626719
221,모종동 제1공영주차장,충청남도,아산시,노외,127.0130413,36.78418138
222,기린중·고등학교,강원도,인제군,노상,128.31169,37.94620605
223,미사고등학교,경기도,하남시,노상,127.1933891,37.57050336
224,석계 임시공영주차장,경상남도,양산시,노외,129.0583313,35.41293837
225,자투리 땅 활용 생활주차장 10,경상남도,합천군,노외,128.1575494,35.56284064
226,원주의료고등학교,강원도,원주시,노상,127.8225274,37.31446027
227,동신아파트 진입로,경상남도,함안군,노상,128.4043437,35.28417674
228,군청앞 노상주차장,강원도,평창군,노상,128.3913752,37.36998556
229,세정초등학교,경기도,화성시,부설,127.1260411,37.16678823
230,운천초등학교,충청북도,청주시,노상,127.4733856,36.65448725
231,원평공영주차장,전라북도,김제시,노외,126.992566,35.71407183
232,원평구획가로3주차장,경상북도,구미시,노외,128.3420517,36.12421929
233,경남공업고등학교,부산광역시,부산진구,부설,129.0636387,35.15334824
234,구내주차장,전라북도,전주시,노상,127.05682,35.83141381
235,감문중학교,경상북도,김천시,노외,128.1978476,36.23066619
236,화령초등학교,경상북도,상주시,부설,127.951894,36.4466099
237,제주중앙중학교,제주특별자치도,제주시,부설,126.5006626,33.48675886
238,경화역근처공영주차장,경상남도,창원시,노외,128.6832315,35.15890455
239,소수박물관 주차장,경상북도,영주시,노외,128.5823818,36.92582114
240,서귀포대신중학교,제주특별자치도,서귀포시,부설,126.5063965,33.25727167
241,공단삼거리 2주차장,경기도,안산시,노외,126.7910948,37.31319299
242,태안도서관,충청남도,태안군,노상,126.290735,36.75947665
243,가좌중학교,인천광역시,서구,노상,126.6797136,37.495703
244,변동제5공한지무료주차장,대전광역시,서구,노외,127.3866788,36.32548979
245,남산4동행정복지센터 부근 노상주차장,대구광역시,중구,노상,128.582099,35.85727117
246,한빛제2(노외),경기도,화성시,노외,127.0741418,37.20571885
247,매곡중학교(후문 옆 필로티 주차장),울산광역시,북구,부설,129.3493936,35.64485557
248,구만초등학교,경상남도,고성군,부설,128.3355433,35.08851455
249,모당초등학교,경기도,고양시,부설,126.7811864,37.67946225
250,봉황동유적지,경상남도,김해시,노외,128.8742473,35.23094479
251,장항 제3공영주차장,경기도,고양시,노외,126.7657073,37.66239809
252,만년남로 시간제주차장,대전광역시,서구,노상,127.3764698,36.36555829
253,구)중앙극장 공영주차장,충청남도,예산군,노외,126.8499548,36.6802626
254,삼성초등학교,충청남도,태안군,부설,126.3116312,36.62215406
255,율곡초등학교,경상북도,김천시,노외,128.1868776,36.12221845
256,만날제 공연장,경상남도,창원시,노외,128.5491787,35.18526162
257,이천송정초등학교,경기도,이천시,부설,127.4333897,37.29416287
258,신성동 제1공영,대전광역시,유성구,노외,127.3496683,36.39026164
259,서정동제2노상공영주차장,경기도,평택시,노상,127.0614227,37.06689381
260,상공회의소 옆,경상북도,칠곡군,노외,128.4267152,35.97418641
261,경북공업고등학교,대구광역시,중구,부설,128.5835008,35.85851368
262,금마중학교,충청남도,홍성군,노상,126.7232399,36.62074389
263,상도초등학교,경기도,부천시,노상,126.7592496,37.49448521
264,단양구경시장 시장주차장,충청북도,단양군,노외,128.3711731,36.98270102
265,치동천변,경기도,화성시,노상,127.1266493,37.20356562
266,덕정노외주차장,경기도,양주시,노외,127.0659045,37.84458736
267,농협군지부 옆,강원도,양구군,노외,127.9867788,38.10731938
268,청라동 11-37 주차장,인천광역시,서구,노외,126.6040832,37.52830344
269,도계동 465-6 주차장,경상남도,창원시,노외,128.6330547,35.25780637
270,하포마을(물량장),경상남도,창원시,노외,128.5624942,35.05964684
271,동문동 장학문화재단 옆,경상북도,상주시,노외,128.1636925,36.41898525
272,대구지묘초등학교,대구광역시,동구,부설,128.6389777,35.94284745
273,평화2동 주차장,전라북도,전주시,노외,127.1361042,35.79596451
274,생초시장,경상남도,산청군,노외,127.8351875,35.49280912
275,응봉초등학교,충청남도,예산군,노상,126.7704003,36.65638487
276,범일중학교,대구광역시,수성구,노상,128.6447057,35.82113036
277,고현7,경상남도,거제시,노상,128.6262181,34.88704073
278,현남중학교,강원도,양양군,노상,128.7695886,37.95368906
279,제주시교육지원청,제주특별자치도,제주시,부설,126.5380518,33.49396867
280,고읍도서관,경기도,양주시,부설,127.0844585,37.79204791
281,충청남도 당진시청(남부공영주차장),충청남도,당진시,노외,126.6312214,36.88675477
282,삼산리 주차장,충청남도,서천군,노외,126.7260384,36.07468304
283,죽전초등학교,경기도,용인시,노상,127.1103796,37.33376682
284,덕흥동 주거환경개선지구1,광주광역시,서구,노외,126.8376222,35.1656122
285,하리파출소 옆,강원도,화천군,노외,127.7055626,38.1026542
286,사현마을 주차장,경상남도,의령군,노외,128.2645618,35.4740926
287,대구학산초등학교,대구광역시,달서구,노상,128.5260827,35.83110936
288,계촌주차장,강원도,평창군,노외,128.3053086,37.45050275
289,산청읍사무소,경상남도,산청군,부설,127.8775755,35.4134286
290,선화동제2노상,대전광역시,중구,노상,127.4210001,36.33033724
291,송도1동 행정복지센터 일원 노상주차장,인천광역시,연수구,노상,126.652079,37.39106637
292,구 선진사료,전라북도,순창군,노외,127.1421899,35.37158209
293,서촌초등학교,경기도,시흥시,부설,126.7275021,37.34942585
294,춘자슈퍼 옆,강원도,영월군,노외,128.4562143,37.19483338
295,영양공설운동장,경상북도,영양군,부설,129.1183002,36.65736698
296,남목시장앞 주차장,울산광역시,동구,노상,129.4274766,35.54242707
297,금곡동 주민센터,경기도,수원시,노외,126.9521896,37.27273093
298,남면주유소 위 주차장,강원도,정선군,노외,128.7424353,37.26814097
299,완산동행정복지센터 부설주차장,경상북도,영천시,부설,128.9397927,35.96486375
300,신례원초등학교,충청남도,예산군,노상,126.8421305,36.72568143
301,고암리 쌈지주차장,충청남도,홍성군,노외,126.6749386,36.59601554
302,의령 복개천 주차장,경상남도,의령군,노상,128.2635348,35.31838375
303,진부초등학교 앞 주차장,강원도,평창군,노외,128.5577388,37.63855746
304,김포여자중학교,경기도,김포시,부설,126.7139535,37.61922143
305,야음상가시장,울산광역시,남구,노상,129.3302936,35.5241353
306,명서로 노상주차장,경상남도,창원시,노상,128.6482568,35.25127255
307,부천신흥초등학교,경기도,부천시,노상,126.7847155,37.50640474
308,태화세차장-금호타이어,경상북도,안동시,노상,128.7127593,36.55851276
309,할렐루야 교회,전라북도,정읍시,노외,126.8509677,35.57907892
310,대전용전중학교,대전광역시,대덕구,부설,127.4252155,36.35658849
311,구서여자중학교,부산광역시,금정구,부설,129.085894,35.24928062
312,삼동초등학교(주차장),울산광역시,울주군,부설,129.1588322,35.52353367
313,남원동 드림뷰 옆,경상북도,상주시,노상,128.1585714,36.41487757
314,내리초등학교,부산광역시,기장군,노외,129.2055036,35.2057615
315,달산초등학교,부산광역시,기장군,부설,129.186736,35.31928499
316,대구초등학교,대구광역시,중구,노상,128.5950442,35.86401969
317,필동공영,서울특별시,중구,노외,126.9958721,37.55659948
318,지산IC 제2 공영주차장,광주광역시,동구,노외,126.9399613,35.14750057
319,중앙9,경기도,성남시,부설,127.1472886,37.44127926
320,기흥구청,경기도,용인시,부설,127.114689,37.28044712
321,북면 대한마을 주차장,경상남도,창원시,노외,128.6188192,35.28866934
322,염포초등학교(체육관 주차장),울산광역시,북구,부설,129.3911228,35.53321949
323,영암도포중학교,전라남도,영암군,노상,126.6434204,34.85005914
324,울산중앙고등학교(운동장 옆 주차장),울산광역시,중구,부설,129.2844496,35.55609474
325,대구대남초등학교,대구광역시,달서구,부설,128.5517486,35.8241878
326,옥산초등학교,경기도,부천시,부설,126.779428,37.50314849
327,대천26통 마을주차장,충청남도,보령시,노외,126.5839717,36.35840245
328,실버 중앙사거리,경기도,이천시,노상,127.4427412,37.28165465
329,하안3동 행정복지센터 주차장,경기도,광명시,부설,126.8816192,37.45871347
330,환서초등학교,충청남도,천안시,노상,127.1225335,36.82890323
331,수지노상,경기도,용인시,노상,127.0992765,37.32520136
332,정왕평생학습관,경기도,시흥시,부설,126.7404007,37.34776255
333,인천체육고등학교,인천광역시,서구,노상,126.6094512,37.54592504
334,도계전산정보고등학교,강원도,삼척시,노상,129.0479747,37.23151857
335,광석중학교,충청남도,논산시,노상,127.0813186,36.23858258
336,한림 상두거리,제주특별자치도,제주시,노외,126.2653042,33.41246636
337,가남초등학교,충청남도,청양군,부설,126.7888904,36.51658243
338,한국전력공사 진안지사 주차장,전라북도,진안군,부설,127.4215997,35.79078557
339,노상유료주차장(제5구간),경상북도,영주시,노상,128.6225094,36.8236345
340,낙동초등학교,부산광역시,사하구,부설,128.9723662,35.10555725
341,청도군 각남면사무소,경상북도,청도군,노외,128.6589435,35.64182058
342,지산1 노외주차장,충청남도,논산시,노외,127.1077286,36.19808096
343,배곧3 공영주차장,경기도,시흥시,노외,126.7289775,37.37767608
344,옥련동(2) 공영주차장,인천광역시,연수구,노외,126.6477669,37.42742427
345,정왕본동주민센터,경기도,시흥시,부설,126.7460656,37.34940868
346,정릉천공영주차장,서울특별시,동대문구,노상,127.0345952,37.5805142
347,인천광역시청사 부설주차장,인천광역시,남동구,부설,126.7062189,37.45613102
348,가음동 20-2 임시 공영주차장,경상남도,창원시,노외,128.6992438,35.20733595
349,청구2단지노상주차장,경상북도,의성군,노상,128.7023574,36.35304284
350,한국전력공사 남원지사 주차장,전라북도,남원시,부설,127.3868031,35.41638964
351,주례여자고등학교,부산광역시,사상구,부설,129.0135597,35.14536511
352,진례전통시장 옥상주차장,경상남도,김해시,노외,128.7489253,35.24868302
353,구천초등학교,경상북도,의성군,부설,128.4315478,36.35003075
354,그레이스호텔앞 주차장,경기도,과천시,노외,126.9920615,37.42776551
355,맹동혁신 공영주차장,충청북도,음성군,노외,127.5413495,36.91000163
356,가포로 82번지 주차장,경상남도,창원시,노상,128.5635982,35.17671977
357,양덕여자중학교,부산광역시,북구,부설,129.0134063,35.2042128
358,상주중학교,경상북도,상주시,노상,128.1549977,36.4288502
359,취암2 노외주차장,충청남도,논산시,노외,127.0897497,36.19459705
360,진미동사무소,경상북도,구미시,부설,128.4183557,36.10599132
361,수성초등학교,부산광역시,동구,노외,129.0427196,35.13455109
362,설문대여성문화센터 부설주차장,제주특별자치도,제주시,부설,126.5003713,33.48439696
363,신창동 공영주차장,서울특별시,용산구,노외,126.955207,37.53528972
364,성남초등학교,강원도,횡성군,노상,127.9729081,37.46526355
365,농협군지부옆,강원도,화천군,노상,127.7057845,38.10433133
366,오산시 궐동 공영주차장,경기도,오산시,노외,127.0560766,37.15717572
367,태화동 불무골1길 마을공동주차장,경상북도,안동시,노외,128.7077511,36.56620167
368,회천2동 행정복지센터,경기도,양주시,부설,127.0467602,37.82168091
369,북안면행정복지센터 부설주차장,경상북도,영천시,부설,129.0089509,35.9152761
370,신암중학교,충청남도,예산군,노상,126.8127363,36.74013029
371,행남초등학교,경기도,고양시,노상,126.8425938,37.61518264
372,횡계의원 뒤 1주차장,강원도,평창군,노외,128.7080946,37.6716527
373,한국가스기술공사,부산광역시,기장군,부설,129.2125999,35.20442158
374,서일여자고등학교,대전광역시,서구,부설,127.3235457,36.29429961
375,학동 넘버원정형외과의원 옆 소규모 공영주차장,광주광역시,동구,노상,126.9242185,35.13840701
376,인제제6공영주차장,강원도,인제군,노외,128.1723562,38.06979426
377,수원시 민방위교육장,경기도,수원시,부설,127.0374114,37.25972525
378,회야강소공원 공영주차장,울산광역시,울주군,노외,129.312312,35.42493589
379,부산진구국민체육센터,부산광역시,부산진구,부설,129.0737727,35.15538668
380,상상의거리 주차장,충청북도,단양군,노외,128.3621364,36.99369949
381,온천공원 주차장,경기도,이천시,노외,127.4532313,37.28184904
382,경기도교육청안전교육관,경기도,양주시,부설,126.9714369,37.81447961
383,용아초등학교,충청북도,청주시,노상,127.5219428,36.61824768
